heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f1,f3
smoothgrad,avg,mean,icse20/DAVE2-Track1-DayNight,2,0,2,0,1,0,0,0,0,0,0
smoothgrad,avg,mean,icse20/DAVE2-Track1-DayNight,2,0,2,0,2,0,0,0,0,0,0
smoothgrad,avg,mean,icse20/DAVE2-Track1-DayNight,2,0,2,0,3,0,0,0,0,0,0
smoothgrad,avg,mean,icse20/DAVE2-Track1-DayNightFog,5,1,4,0,1,91,4,25,20,22,20
smoothgrad,avg,mean,icse20/DAVE2-Track1-DayNightFog,5,1,4,0,2,91,4,25,20,22,20
smoothgrad,avg,mean,icse20/DAVE2-Track1-DayNightFog,5,5,0,0,3,96,4,62,100,77,94
smoothgrad,avg,mean,icse20/DAVE2-Track1-DayNightRain,2,0,2,0,1,0,0,0,0,0,0
smoothgrad,avg,mean,icse20/DAVE2-Track1-DayNightRain,2,0,2,0,2,0,0,0,0,0,0
smoothgrad,avg,mean,icse20/DAVE2-Track1-DayNightRain,2,0,2,0,3,0,0,0,0,0,0
smoothgrad,avg,mean,icse20/DAVE2-Track1-DayNightSnow,4,4,0,1,1,96,4,57,100,73,93
smoothgrad,avg,mean,icse20/DAVE2-Track1-DayNightSnow,3,3,0,2,2,96,4,50,100,67,91
smoothgrad,avg,mean,icse20/DAVE2-Track1-DayNightSnow,4,4,0,1,3,96,4,57,100,73,93
smoothgrad,avg,mean,icse20/DAVE2-Track1-Fog,4,0,4,0,1,0,0,0,0,0,0
smoothgrad,avg,mean,icse20/DAVE2-Track1-Fog,4,4,0,0,2,96,4,57,100,73,93
smoothgrad,avg,mean,icse20/DAVE2-Track1-Fog,4,4,0,0,3,96,4,57,100,73,93
smoothgrad,avg,mean,icse20/DAVE2-Track1-Rain,2,1,1,0,1,95,4,25,50,33,45
smoothgrad,avg,mean,icse20/DAVE2-Track1-Rain,2,2,0,0,2,96,4,40,100,57,87
smoothgrad,avg,mean,icse20/DAVE2-Track1-Rain,2,2,0,0,3,96,4,40,100,57,87
smoothgrad,avg,mean,icse20/DAVE2-Track1-Snow,3,3,0,0,1,96,4,50,100,67,91
smoothgrad,avg,mean,icse20/DAVE2-Track1-Snow,3,3,0,0,2,96,4,50,100,67,91
smoothgrad,avg,mean,icse20/DAVE2-Track1-Snow,3,3,0,0,3,96,4,50,100,67,91
smoothgrad,avg,max,icse20/DAVE2-Track1-DayNight,2,2,0,0,1,95,5,33,100,50,83
smoothgrad,avg,max,icse20/DAVE2-Track1-DayNight,2,2,0,0,2,95,5,33,100,50,83
smoothgrad,avg,max,icse20/DAVE2-Track1-DayNight,2,1,1,0,3,93,5,20,50,29,43
smoothgrad,avg,max,icse20/DAVE2-Track1-DayNightFog,5,4,1,0,1,94,5,50,80,62,75
smoothgrad,avg,max,icse20/DAVE2-Track1-DayNightFog,5,5,0,0,2,95,5,56,100,71,93
smoothgrad,avg,max,icse20/DAVE2-Track1-DayNightFog,5,5,0,0,3,95,5,56,100,71,93
smoothgrad,avg,max,icse20/DAVE2-Track1-DayNightRain,2,1,1,0,1,93,5,20,50,29,43
smoothgrad,avg,max,icse20/DAVE2-Track1-DayNightRain,2,1,1,0,2,93,5,20,50,29,43
smoothgrad,avg,max,icse20/DAVE2-Track1-DayNightRain,2,2,0,0,3,95,5,33,100,50,83
smoothgrad,avg,max,icse20/DAVE2-Track1-DayNightSnow,4,4,0,1,1,95,5,50,100,67,91
smoothgrad,avg,max,icse20/DAVE2-Track1-DayNightSnow,3,3,0,2,2,95,5,43,100,60,88
smoothgrad,avg,max,icse20/DAVE2-Track1-DayNightSnow,4,4,0,1,3,95,5,50,100,67,91
smoothgrad,avg,max,icse20/DAVE2-Track1-Fog,4,4,0,0,1,95,5,50,100,67,91
smoothgrad,avg,max,icse20/DAVE2-Track1-Fog,4,4,0,0,2,95,5,50,100,67,91
smoothgrad,avg,max,icse20/DAVE2-Track1-Fog,4,4,0,0,3,95,5,50,100,67,91
smoothgrad,avg,max,icse20/DAVE2-Track1-Rain,2,2,0,0,1,95,5,33,100,50,83
smoothgrad,avg,max,icse20/DAVE2-Track1-Rain,2,2,0,0,2,95,5,33,100,50,83
smoothgrad,avg,max,icse20/DAVE2-Track1-Rain,2,2,0,0,3,95,5,33,100,50,83
smoothgrad,avg,max,icse20/DAVE2-Track1-Snow,3,3,0,0,1,95,5,43,100,60,88
smoothgrad,avg,max,icse20/DAVE2-Track1-Snow,3,3,0,0,2,95,5,43,100,60,88
smoothgrad,avg,max,icse20/DAVE2-Track1-Snow,3,3,0,0,3,95,5,43,100,60,88
smoothgrad,avg-grad,mean,icse20/DAVE2-Track1-DayNight,2,0,2,0,1,0,0,0,0,0,0
smoothgrad,avg-grad,mean,icse20/DAVE2-Track1-DayNight,2,0,2,0,2,0,0,0,0,0,0
smoothgrad,avg-grad,mean,icse20/DAVE2-Track1-DayNight,2,0,2,0,3,0,0,0,0,0,0
smoothgrad,avg-grad,mean,icse20/DAVE2-Track1-DayNightFog,5,4,1,0,1,92,7,44,80,57,74
smoothgrad,avg-grad,mean,icse20/DAVE2-Track1-DayNightFog,5,4,1,0,2,92,7,44,80,57,74
smoothgrad,avg-grad,mean,icse20/DAVE2-Track1-DayNightFog,5,5,0,0,3,94,7,50,100,67,91
smoothgrad,avg-grad,mean,icse20/DAVE2-Track1-DayNightRain,2,0,2,0,1,0,0,0,0,0,0
smoothgrad,avg-grad,mean,icse20/DAVE2-Track1-DayNightRain,2,0,2,0,2,0,0,0,0,0,0
smoothgrad,avg-grad,mean,icse20/DAVE2-Track1-DayNightRain,2,0,2,0,3,0,0,0,0,0,0
smoothgrad,avg-grad,mean,icse20/DAVE2-Track1-DayNightSnow,4,4,0,1,1,94,7,44,100,62,89
smoothgrad,avg-grad,mean,icse20/DAVE2-Track1-DayNightSnow,3,2,1,2,2,92,7,29,67,40,59
smoothgrad,avg-grad,mean,icse20/DAVE2-Track1-DayNightSnow,4,4,0,1,3,94,7,44,100,62,89
smoothgrad,avg-grad,mean,icse20/DAVE2-Track1-Fog,4,2,2,0,1,91,7,29,50,36,47
smoothgrad,avg-grad,mean,icse20/DAVE2-Track1-Fog,4,4,0,0,2,94,7,44,100,62,89
smoothgrad,avg-grad,mean,icse20/DAVE2-Track1-Fog,4,4,0,0,3,94,7,44,100,62,89
smoothgrad,avg-grad,mean,icse20/DAVE2-Track1-Rain,2,2,0,0,1,93,7,29,100,44,80
smoothgrad,avg-grad,mean,icse20/DAVE2-Track1-Rain,2,2,0,0,2,93,7,29,100,44,80
smoothgrad,avg-grad,mean,icse20/DAVE2-Track1-Rain,2,2,0,0,3,93,7,29,100,44,80
smoothgrad,avg-grad,mean,icse20/DAVE2-Track1-Snow,3,3,0,0,1,93,7,38,100,55,86
smoothgrad,avg-grad,mean,icse20/DAVE2-Track1-Snow,3,3,0,0,2,93,7,38,100,55,86
smoothgrad,avg-grad,mean,icse20/DAVE2-Track1-Snow,3,3,0,0,3,93,7,38,100,55,86
smoothgrad,avg-grad,max,icse20/DAVE2-Track1-DayNight,2,2,0,0,1,91,10,22,100,36,74
smoothgrad,avg-grad,max,icse20/DAVE2-Track1-DayNight,2,2,0,0,2,91,10,22,100,36,74
smoothgrad,avg-grad,max,icse20/DAVE2-Track1-DayNight,2,2,0,0,3,91,10,22,100,36,74
smoothgrad,avg-grad,max,icse20/DAVE2-Track1-DayNightFog,5,5,0,0,1,91,10,42,100,59,88
smoothgrad,avg-grad,max,icse20/DAVE2-Track1-DayNightFog,5,5,0,0,2,91,10,42,100,59,88
smoothgrad,avg-grad,max,icse20/DAVE2-Track1-DayNightFog,5,5,0,0,3,91,10,42,100,59,88
smoothgrad,avg-grad,max,icse20/DAVE2-Track1-DayNightRain,2,2,0,0,1,91,10,22,100,36,74
smoothgrad,avg-grad,max,icse20/DAVE2-Track1-DayNightRain,2,2,0,0,2,91,10,22,100,36,74
smoothgrad,avg-grad,max,icse20/DAVE2-Track1-DayNightRain,2,2,0,0,3,91,10,22,100,36,74
smoothgrad,avg-grad,max,icse20/DAVE2-Track1-DayNightSnow,4,4,0,1,1,91,10,36,100,53,85
smoothgrad,avg-grad,max,icse20/DAVE2-Track1-DayNightSnow,3,3,0,2,2,91,10,30,100,46,81
smoothgrad,avg-grad,max,icse20/DAVE2-Track1-DayNightSnow,4,4,0,1,3,91,10,36,100,53,85
smoothgrad,avg-grad,max,icse20/DAVE2-Track1-Fog,4,4,0,0,1,91,10,36,100,53,85
smoothgrad,avg-grad,max,icse20/DAVE2-Track1-Fog,4,4,0,0,2,91,10,36,100,53,85
smoothgrad,avg-grad,max,icse20/DAVE2-Track1-Fog,4,4,0,0,3,91,10,36,100,53,85
smoothgrad,avg-grad,max,icse20/DAVE2-Track1-Rain,2,2,0,0,1,91,10,22,100,36,74
smoothgrad,avg-grad,max,icse20/DAVE2-Track1-Rain,2,2,0,0,2,91,10,22,100,36,74
smoothgrad,avg-grad,max,icse20/DAVE2-Track1-Rain,2,2,0,0,3,91,10,22,100,36,74
smoothgrad,avg-grad,max,icse20/DAVE2-Track1-Snow,3,3,0,0,1,91,10,30,100,46,81
smoothgrad,avg-grad,max,icse20/DAVE2-Track1-Snow,3,3,0,0,2,91,10,30,100,46,81
smoothgrad,avg-grad,max,icse20/DAVE2-Track1-Snow,3,3,0,0,3,91,10,30,100,46,81
