heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f1,f3
smoothgrad,avg,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,0,5,0,1,0,0,0,0,0,0
smoothgrad,avg,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,1,4,0,2,89,4,33,20,25,21
smoothgrad,avg,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,4,4,0,1,3,96,4,67,100,80,95
smoothgrad,avg,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,9,10,3,1,83,4,82,47,60,49
smoothgrad,avg,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,13,6,3,2,89,4,87,68,76,70
smoothgrad,avg,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,8,11,3,3,82,4,80,42,55,44
smoothgrad,avg,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,12,4,3,1,91,4,86,75,80,76
smoothgrad,avg,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,6,10,3,2,82,4,75,38,50,39
smoothgrad,avg,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,5,11,3,3,81,4,71,31,43,33
smoothgrad,avg,mean,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,12,0,3,1,97,4,86,100,92,98
smoothgrad,avg,mean,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,11,1,3,2,95,4,85,92,88,91
smoothgrad,avg,mean,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,10,2,3,3,94,4,83,83,83,83
smoothgrad,avg,mean,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,1,6,1,1,86,4,33,14,20,15
smoothgrad,avg,mean,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,1,6,1,2,86,4,33,14,20,15
smoothgrad,avg,mean,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,2,5,1,3,88,4,50,29,36,30
smoothgrad,avg,mean,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,16,10,6,2,1,88,4,83,62,71,64
