heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f1,f3
smoothgrad,avg,mean,ood/xai-track1-fog-10,2,0,2,1,1,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-fog-10,2,1,1,1,2,94,4,33,50,40,48
smoothgrad,avg,mean,ood/xai-track1-fog-10,3,1,2,0,3,93,4,33,33,33,33
smoothgrad,avg,mean,ood/xai-track1-fog-20,4,0,4,1,1,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-fog-20,4,0,4,1,2,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-fog-20,5,0,5,0,3,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-fog-30,4,0,4,0,1,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-fog-30,3,1,2,1,2,93,4,33,33,33,33
smoothgrad,avg,mean,ood/xai-track1-fog-30,3,1,2,1,3,93,4,33,33,33,33
smoothgrad,avg,mean,ood/xai-track1-fog-40,3,0,3,0,1,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-fog-40,3,0,3,0,2,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-fog-40,3,0,3,0,3,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-fog-50,3,0,3,1,1,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-fog-50,3,0,3,1,2,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-fog-50,3,0,3,1,3,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-fog-60,1,1,0,0,1,96,4,33,100,50,83
smoothgrad,avg,mean,ood/xai-track1-fog-60,1,0,1,0,2,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-fog-60,1,0,1,0,3,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-fog-70,2,0,2,0,1,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-fog-70,2,0,2,0,2,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-fog-70,2,0,2,0,3,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-fog-80,1,0,1,0,1,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-fog-80,1,0,1,0,2,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-fog-80,1,0,1,0,3,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-fog-90,1,0,1,0,1,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-fog-90,1,0,1,0,2,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-fog-90,1,0,1,0,3,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-fog-100,4,0,4,0,1,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-fog-100,4,0,4,0,2,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-fog-100,4,0,4,0,3,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-rain-10,1,0,1,0,1,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-rain-10,1,1,0,0,2,96,4,33,100,50,83
smoothgrad,avg,mean,ood/xai-track1-rain-10,1,1,0,0,3,96,4,33,100,50,83
smoothgrad,avg,mean,ood/xai-track1-rain-20,3,0,3,0,1,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-rain-20,3,1,2,0,2,93,4,33,33,33,33
smoothgrad,avg,mean,ood/xai-track1-rain-20,3,1,2,0,3,93,4,33,33,33,33
smoothgrad,avg,mean,ood/xai-track1-rain-30,2,0,2,0,1,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-rain-30,2,1,1,0,2,94,4,33,50,40,48
smoothgrad,avg,mean,ood/xai-track1-rain-30,2,1,1,0,3,94,4,33,50,40,48
smoothgrad,avg,mean,ood/xai-track1-rain-40,3,0,3,0,1,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-rain-40,2,1,1,1,2,94,4,33,50,40,48
smoothgrad,avg,mean,ood/xai-track1-rain-40,2,1,1,1,3,94,4,33,50,40,48
smoothgrad,avg,mean,ood/xai-track1-rain-50,2,1,1,0,1,94,4,33,50,40,48
smoothgrad,avg,mean,ood/xai-track1-rain-50,2,2,0,0,2,96,4,50,100,67,91
smoothgrad,avg,mean,ood/xai-track1-rain-50,2,1,1,0,3,94,4,33,50,40,48
smoothgrad,avg,mean,ood/xai-track1-rain-60,2,1,1,0,1,94,4,33,50,40,48
smoothgrad,avg,mean,ood/xai-track1-rain-60,2,1,1,0,2,94,4,33,50,40,48
smoothgrad,avg,mean,ood/xai-track1-rain-60,2,1,1,0,3,94,4,33,50,40,48
smoothgrad,avg,mean,ood/xai-track1-rain-70,2,0,2,0,1,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-rain-70,2,1,1,0,2,94,4,33,50,40,48
smoothgrad,avg,mean,ood/xai-track1-rain-70,2,1,1,0,3,94,4,33,50,40,48
smoothgrad,avg,mean,ood/xai-track1-rain-80,3,0,3,0,1,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-rain-80,3,1,2,0,2,93,4,33,33,33,33
smoothgrad,avg,mean,ood/xai-track1-rain-80,3,1,2,0,3,93,4,33,33,33,33
smoothgrad,avg,mean,ood/xai-track1-rain-90,2,0,2,1,1,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-rain-90,2,0,2,1,2,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-rain-90,2,1,1,1,3,94,4,33,50,40,48
smoothgrad,avg,mean,ood/xai-track1-rain-100,2,2,0,0,1,96,4,50,100,67,91
smoothgrad,avg,mean,ood/xai-track1-rain-100,2,2,0,0,2,96,4,50,100,67,91
smoothgrad,avg,mean,ood/xai-track1-rain-100,2,1,1,0,3,94,4,33,50,40,48
smoothgrad,avg,mean,ood/xai-track1-snow-10,3,0,3,0,1,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-snow-10,2,1,1,1,2,94,4,33,50,40,48
smoothgrad,avg,mean,ood/xai-track1-snow-10,2,1,1,1,3,94,4,33,50,40,48
smoothgrad,avg,mean,ood/xai-track1-snow-20,2,0,2,1,1,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-snow-20,2,1,1,1,2,94,4,33,50,40,48
smoothgrad,avg,mean,ood/xai-track1-snow-20,2,1,1,1,3,94,4,33,50,40,48
smoothgrad,avg,mean,ood/xai-track1-snow-30,2,0,2,0,1,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-snow-30,2,1,1,0,2,94,4,33,50,40,48
smoothgrad,avg,mean,ood/xai-track1-snow-30,2,1,1,0,3,94,4,33,50,40,48
smoothgrad,avg,mean,ood/xai-track1-snow-40,2,0,2,0,1,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-snow-40,2,1,1,0,2,94,4,33,50,40,48
smoothgrad,avg,mean,ood/xai-track1-snow-40,2,1,1,0,3,94,4,33,50,40,48
smoothgrad,avg,mean,ood/xai-track1-snow-50,3,0,3,0,1,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-snow-50,3,1,2,0,2,93,4,33,33,33,33
smoothgrad,avg,mean,ood/xai-track1-snow-50,2,1,1,1,3,94,4,33,50,40,48
smoothgrad,avg,mean,ood/xai-track1-snow-60,2,0,2,0,1,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-snow-60,2,1,1,0,2,94,4,33,50,40,48
smoothgrad,avg,mean,ood/xai-track1-snow-60,2,1,1,0,3,94,4,33,50,40,48
smoothgrad,avg,mean,ood/xai-track1-snow-70,2,2,0,0,1,96,4,50,100,67,91
smoothgrad,avg,mean,ood/xai-track1-snow-70,2,2,0,0,2,96,4,50,100,67,91
smoothgrad,avg,mean,ood/xai-track1-snow-70,2,1,1,0,3,94,4,33,50,40,48
smoothgrad,avg,mean,ood/xai-track1-snow-80,2,0,2,1,1,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-snow-80,2,1,1,1,2,94,4,33,50,40,48
smoothgrad,avg,mean,ood/xai-track1-snow-80,3,1,2,0,3,93,4,33,33,33,33
smoothgrad,avg,mean,ood/xai-track1-snow-90,2,2,0,0,1,96,4,50,100,67,91
smoothgrad,avg,mean,ood/xai-track1-snow-90,2,2,0,0,2,96,4,50,100,67,91
smoothgrad,avg,mean,ood/xai-track1-snow-90,2,1,1,0,3,94,4,33,50,40,48
smoothgrad,avg,mean,ood/xai-track1-snow-100,2,0,2,0,1,0,0,0,0,0,0
smoothgrad,avg,mean,ood/xai-track1-snow-100,2,1,1,0,2,94,4,33,50,40,48
smoothgrad,avg,mean,ood/xai-track1-snow-100,2,1,1,0,3,94,4,33,50,40,48
smoothgrad,avg,max,ood/xai-track1-fog-10,2,2,0,1,1,96,4,50,100,67,91
smoothgrad,avg,max,ood/xai-track1-fog-10,2,2,0,1,2,96,4,50,100,67,91
smoothgrad,avg,max,ood/xai-track1-fog-10,3,2,1,0,3,95,4,50,67,57,65
smoothgrad,avg,max,ood/xai-track1-fog-20,4,4,0,1,1,96,4,67,100,80,95
smoothgrad,avg,max,ood/xai-track1-fog-20,4,3,1,1,2,95,4,60,75,67,73
smoothgrad,avg,max,ood/xai-track1-fog-20,5,4,1,0,3,95,4,67,80,73,78
smoothgrad,avg,max,ood/xai-track1-fog-30,4,4,0,0,1,96,4,67,100,80,95
smoothgrad,avg,max,ood/xai-track1-fog-30,3,2,1,1,2,95,4,50,67,57,65
smoothgrad,avg,max,ood/xai-track1-fog-30,3,3,0,1,3,96,4,60,100,75,94
smoothgrad,avg,max,ood/xai-track1-fog-40,3,3,0,0,1,96,4,60,100,75,94
smoothgrad,avg,max,ood/xai-track1-fog-40,3,1,2,0,2,93,4,33,33,33,33
smoothgrad,avg,max,ood/xai-track1-fog-40,3,3,0,0,3,96,4,60,100,75,94
smoothgrad,avg,max,ood/xai-track1-fog-50,3,1,2,1,1,93,4,33,33,33,33
smoothgrad,avg,max,ood/xai-track1-fog-50,3,1,2,1,2,93,4,33,33,33,33
smoothgrad,avg,max,ood/xai-track1-fog-50,3,1,2,1,3,93,4,33,33,33,33
smoothgrad,avg,max,ood/xai-track1-fog-60,1,1,0,0,1,96,4,33,100,50,83
smoothgrad,avg,max,ood/xai-track1-fog-60,1,0,1,0,2,0,0,0,0,0,0
smoothgrad,avg,max,ood/xai-track1-fog-60,1,0,1,0,3,0,0,0,0,0,0
smoothgrad,avg,max,ood/xai-track1-fog-70,2,2,0,0,1,96,4,50,100,67,91
smoothgrad,avg,max,ood/xai-track1-fog-70,2,0,2,0,2,0,0,0,0,0,0
smoothgrad,avg,max,ood/xai-track1-fog-70,2,0,2,0,3,0,0,0,0,0,0
smoothgrad,avg,max,ood/xai-track1-fog-80,1,1,0,0,1,96,4,33,100,50,83
smoothgrad,avg,max,ood/xai-track1-fog-80,1,0,1,0,2,0,0,0,0,0,0
smoothgrad,avg,max,ood/xai-track1-fog-80,1,0,1,0,3,0,0,0,0,0,0
smoothgrad,avg,max,ood/xai-track1-fog-90,1,1,0,0,1,96,4,33,100,50,83
smoothgrad,avg,max,ood/xai-track1-fog-90,1,0,1,0,2,0,0,0,0,0,0
smoothgrad,avg,max,ood/xai-track1-fog-90,1,0,1,0,3,0,0,0,0,0,0
