heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f1,f3
track1-MSE-latent2-selforacle,rec. loss,mean,icse20/DAVE2-Track1-DayNight,2,2,0,0,1,92,8,3,100,6,25
track1-MSE-latent2-selforacle,rec. loss,mean,icse20/DAVE2-Track1-DayNight,2,2,0,0,2,92,8,3,100,6,25
track1-MSE-latent2-selforacle,rec. loss,mean,icse20/DAVE2-Track1-DayNight,2,2,0,0,3,92,8,3,100,6,25
track1-MSE-latent2-selforacle,rec. loss,mean,icse20/DAVE2-Track1-DayNightFog,5,5,0,0,1,92,8,8,100,14,45
track1-MSE-latent2-selforacle,rec. loss,mean,icse20/DAVE2-Track1-DayNightFog,5,5,0,0,2,92,8,8,100,14,45
track1-MSE-latent2-selforacle,rec. loss,mean,icse20/DAVE2-Track1-DayNightFog,5,5,0,0,3,92,8,8,100,14,45
track1-MSE-latent2-selforacle,rec. loss,mean,icse20/DAVE2-Track1-DayNightRain,2,2,0,0,1,92,8,3,100,6,25
track1-MSE-latent2-selforacle,rec. loss,mean,icse20/DAVE2-Track1-DayNightRain,2,2,0,0,2,92,8,3,100,6,25
track1-MSE-latent2-selforacle,rec. loss,mean,icse20/DAVE2-Track1-DayNightRain,2,2,0,0,3,92,8,3,100,6,25
track1-MSE-latent2-selforacle,rec. loss,mean,icse20/DAVE2-Track1-DayNightSnow,4,4,0,1,1,92,8,6,100,12,40
track1-MSE-latent2-selforacle,rec. loss,mean,icse20/DAVE2-Track1-DayNightSnow,3,3,0,2,2,92,8,5,100,9,33
track1-MSE-latent2-selforacle,rec. loss,mean,icse20/DAVE2-Track1-DayNightSnow,4,4,0,1,3,92,8,6,100,12,40
track1-MSE-latent2-selforacle,rec. loss,mean,icse20/DAVE2-Track1-Fog,4,4,0,0,1,92,8,6,100,12,40
track1-MSE-latent2-selforacle,rec. loss,mean,icse20/DAVE2-Track1-Fog,4,4,0,0,2,92,8,6,100,12,40
track1-MSE-latent2-selforacle,rec. loss,mean,icse20/DAVE2-Track1-Fog,4,4,0,0,3,92,8,6,100,12,40
track1-MSE-latent2-selforacle,rec. loss,mean,icse20/DAVE2-Track1-Rain,2,2,0,0,1,92,8,3,100,6,25
track1-MSE-latent2-selforacle,rec. loss,mean,icse20/DAVE2-Track1-Rain,2,2,0,0,2,92,8,3,100,6,25
track1-MSE-latent2-selforacle,rec. loss,mean,icse20/DAVE2-Track1-Rain,2,2,0,0,3,92,8,3,100,6,25
track1-MSE-latent2-selforacle,rec. loss,mean,icse20/DAVE2-Track1-Snow,3,3,0,0,1,92,8,5,100,9,33
track1-MSE-latent2-selforacle,rec. loss,mean,icse20/DAVE2-Track1-Snow,3,3,0,0,2,92,8,5,100,9,33
track1-MSE-latent2-selforacle,rec. loss,mean,icse20/DAVE2-Track1-Snow,3,3,0,0,3,92,8,5,100,9,33
track1-MSE-latent2-selforacle,rec. loss,max,icse20/DAVE2-Track1-DayNight,2,2,0,0,1,92,8,3,100,6,25
track1-MSE-latent2-selforacle,rec. loss,max,icse20/DAVE2-Track1-DayNight,2,2,0,0,2,92,8,3,100,6,25
track1-MSE-latent2-selforacle,rec. loss,max,icse20/DAVE2-Track1-DayNight,2,2,0,0,3,92,8,3,100,6,25
track1-MSE-latent2-selforacle,rec. loss,max,icse20/DAVE2-Track1-DayNightFog,5,5,0,0,1,92,8,8,100,14,45
track1-MSE-latent2-selforacle,rec. loss,max,icse20/DAVE2-Track1-DayNightFog,5,5,0,0,2,92,8,8,100,14,45
track1-MSE-latent2-selforacle,rec. loss,max,icse20/DAVE2-Track1-DayNightFog,5,5,0,0,3,92,8,8,100,14,45
track1-MSE-latent2-selforacle,rec. loss,max,icse20/DAVE2-Track1-DayNightRain,2,2,0,0,1,92,8,3,100,6,25
track1-MSE-latent2-selforacle,rec. loss,max,icse20/DAVE2-Track1-DayNightRain,2,2,0,0,2,92,8,3,100,6,25
track1-MSE-latent2-selforacle,rec. loss,max,icse20/DAVE2-Track1-DayNightRain,2,2,0,0,3,92,8,3,100,6,25
track1-MSE-latent2-selforacle,rec. loss,max,icse20/DAVE2-Track1-DayNightSnow,4,4,0,1,1,92,8,6,100,12,40
track1-MSE-latent2-selforacle,rec. loss,max,icse20/DAVE2-Track1-DayNightSnow,3,3,0,2,2,92,8,5,100,9,33
track1-MSE-latent2-selforacle,rec. loss,max,icse20/DAVE2-Track1-DayNightSnow,4,4,0,1,3,92,8,6,100,12,40
track1-MSE-latent2-selforacle,rec. loss,max,icse20/DAVE2-Track1-Fog,4,4,0,0,1,92,8,6,100,12,40
track1-MSE-latent2-selforacle,rec. loss,max,icse20/DAVE2-Track1-Fog,4,4,0,0,2,92,8,6,100,12,40
track1-MSE-latent2-selforacle,rec. loss,max,icse20/DAVE2-Track1-Fog,4,4,0,0,3,92,8,6,100,12,40
track1-MSE-latent2-selforacle,rec. loss,max,icse20/DAVE2-Track1-Rain,2,2,0,0,1,92,8,3,100,6,25
track1-MSE-latent2-selforacle,rec. loss,max,icse20/DAVE2-Track1-Rain,2,2,0,0,2,92,8,3,100,6,25
track1-MSE-latent2-selforacle,rec. loss,max,icse20/DAVE2-Track1-Rain,2,2,0,0,3,92,8,3,100,6,25
track1-MSE-latent2-selforacle,rec. loss,max,icse20/DAVE2-Track1-Snow,3,3,0,0,1,92,8,5,100,9,33
track1-MSE-latent2-selforacle,rec. loss,max,icse20/DAVE2-Track1-Snow,3,3,0,0,2,92,8,5,100,9,33
track1-MSE-latent2-selforacle,rec. loss,max,icse20/DAVE2-Track1-Snow,3,3,0,0,3,92,8,5,100,9,33
