heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f1,f3
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/gauss-journal-track1-nominal,0,0,0,0,1,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/gauss-journal-track1-nominal,0,0,0,0,2,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/gauss-journal-track1-nominal,0,0,0,0,3,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,1,94,7,42,100,59,88
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,2,94,7,42,100,59,88
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,4,2,2,1,3,92,7,22,50,31,44
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,14,5,3,1,90,7,67,74,70,73
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,0,19,3,2,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,0,19,3,3,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,3,13,3,1,84,7,30,19,23,19
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,0,16,3,2,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,0,16,3,3,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,5,7,3,1,88,7,42,42,42,42
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,0,12,3,2,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,0,12,3,3,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,4,3,1,1,91,7,36,57,44,54
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,1,6,1,2,88,7,12,14,13,14
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,0,7,1,3,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,16,13,3,2,1,92,7,65,81,72,79
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,16,0,16,2,2,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,14,0,14,4,3,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,0,7,0,1,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,0,7,0,2,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,0,7,0,3,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,12,10,2,3,1,92,7,59,83,69,80
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,12,5,7,3,2,88,7,42,42,42,42
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,11,0,11,4,3,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,12,10,2,2,1,92,7,59,83,69,80
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,12,0,12,2,2,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,12,0,12,2,3,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,12,1,11,9,1,85,7,12,8,10,9
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,12,0,12,9,2,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,10,0,10,11,3,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,10,8,2,4,1,92,7,53,80,64,76
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,10,0,10,4,2,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,10,0,10,4,3,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,10,0,4,1,94,7,59,100,74,93
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,1,9,4,2,86,7,12,10,11,10
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,0,10,4,3,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,7,2,0,1,92,7,50,78,61,74
