heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,precision,recall,f1,f3
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,icse20/DAVE2-Track1-DayNight,2,0,2,0,1,0,0,0,0,0
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,icse20/DAVE2-Track1-DayNight,2,0,2,0,2,0,0,0,0,0
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,icse20/DAVE2-Track1-DayNight,2,0,2,0,3,0,0,0,0,0
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,icse20/DAVE2-Track1-DayNightFog,5,0,5,0,1,0,0,0,0,0
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,icse20/DAVE2-Track1-DayNightFog,5,0,5,0,2,0,0,0,0,0
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,icse20/DAVE2-Track1-DayNightFog,5,4,1,0,3,92,44,80,57,74
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,icse20/DAVE2-Track1-DayNightRain,2,0,2,0,1,0,0,0,0,0
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,icse20/DAVE2-Track1-DayNightRain,2,0,2,0,2,0,0,0,0,0
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,icse20/DAVE2-Track1-DayNightRain,2,0,2,0,3,0,0,0,0,0
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,icse20/DAVE2-Track1-DayNightSnow,4,2,2,1,1,91,29,50,36,47
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,icse20/DAVE2-Track1-DayNightSnow,3,2,1,2,2,92,29,67,40,59
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,icse20/DAVE2-Track1-DayNightSnow,4,4,0,1,3,94,44,100,62,89
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,icse20/DAVE2-Track1-Fog,4,0,4,0,1,0,0,0,0,0
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,icse20/DAVE2-Track1-Fog,4,0,4,0,2,0,0,0,0,0
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,icse20/DAVE2-Track1-Fog,4,0,4,0,3,0,0,0,0,0
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,icse20/DAVE2-Track1-Rain,2,1,1,0,1,92,17,50,25,42
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,icse20/DAVE2-Track1-Rain,2,2,0,0,2,93,29,100,44,80
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,icse20/DAVE2-Track1-Rain,2,2,0,0,3,93,29,100,44,80
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,icse20/DAVE2-Track1-Snow,3,3,0,0,1,93,38,100,55,86
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,icse20/DAVE2-Track1-Snow,3,3,0,0,2,93,38,100,55,86
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,icse20/DAVE2-Track1-Snow,3,3,0,0,3,93,38,100,55,86
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,icse20/DAVE2-Track1-DayNight,2,1,1,0,1,93,20,50,29,43
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,icse20/DAVE2-Track1-DayNight,2,1,1,0,2,93,20,50,29,43
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,icse20/DAVE2-Track1-DayNight,2,1,1,0,3,93,20,50,29,43
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,icse20/DAVE2-Track1-DayNightFog,5,4,1,0,1,94,50,80,62,75
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,icse20/DAVE2-Track1-DayNightFog,5,4,1,0,2,94,50,80,62,75
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,icse20/DAVE2-Track1-DayNightFog,5,5,0,0,3,95,56,100,71,93
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,icse20/DAVE2-Track1-DayNightRain,2,2,0,0,1,95,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,icse20/DAVE2-Track1-DayNightRain,2,2,0,0,2,95,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,icse20/DAVE2-Track1-DayNightRain,2,2,0,0,3,95,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,icse20/DAVE2-Track1-DayNightSnow,4,4,0,1,1,95,50,100,67,91
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,icse20/DAVE2-Track1-DayNightSnow,3,3,0,2,2,95,43,100,60,88
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,icse20/DAVE2-Track1-DayNightSnow,4,4,0,1,3,95,50,100,67,91
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,icse20/DAVE2-Track1-Fog,4,3,1,0,1,94,43,75,55,70
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,icse20/DAVE2-Track1-Fog,4,4,0,0,2,95,50,100,67,91
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,icse20/DAVE2-Track1-Fog,4,4,0,0,3,95,50,100,67,91
