heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,precision,recall,f1,f3
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,1,91,50,100,67,91
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,0,5,0,2,0,0,0,0,0
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,4,2,2,1,3,88,29,50,36,47
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,1,93,79,100,88,97
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,16,3,3,2,89,76,84,80,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,7,12,3,3,76,58,37,45,38
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,16,0,3,1,93,76,100,86,97
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,14,2,3,2,90,74,88,80,86
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,9,7,3,3,82,64,56,60,57
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,12,0,3,1,92,71,100,83,96
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,9,3,3,2,88,64,75,69,74
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,4,8,3,3,80,44,33,38,34
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,6,1,1,1,90,55,86,67,81
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,2,92,58,100,74,93
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,1,6,1,3,81,17,14,15,14
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,16,16,0,2,1,93,76,100,86,97
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,16,5,11,2,2,76,50,31,38,32
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,14,7,7,4,3,82,58,50,54,51
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,1,92,58,100,74,93
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,2,92,58,100,74,93
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,3,92,58,100,74,93
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,12,12,0,3,1,92,71,100,83,96
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,12,0,12,3,2,0,0,0,0,0
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,11,3,8,4,3,79,38,27,32,28
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,12,12,0,2,1,92,71,100,83,96
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,12,2,10,2,2,77,29,17,21,17
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,12,3,9,2,3,78,38,25,30,26
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,12,11,1,9,1,91,69,92,79,89
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,12,10,2,9,2,89,67,83,74,81
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,10,8,2,11,3,89,62,80,70,78
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,10,10,0,4,1,92,67,100,80,95
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,10,7,3,4,2,87,58,70,64,69
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,10,5,5,4,3,84,50,50,50,50
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,10,0,4,1,92,67,100,80,95
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,10,0,4,2,92,67,100,80,95
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,9,1,4,3,90,64,90,75,87
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,7,2,0,1,89,58,78,67,75
