heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,precision,recall,f1,f3
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-fog-10,2,1,1,1,1,89,17,50,25,42
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-fog-10,2,2,0,1,2,91,29,100,44,80
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-fog-10,3,3,0,0,3,91,38,100,55,86
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-fog-20,4,4,0,1,1,91,44,100,62,89
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-fog-20,4,4,0,1,2,91,44,100,62,89
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-fog-20,5,5,0,0,3,91,50,100,67,91
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-fog-30,4,4,0,0,1,91,44,100,62,89
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-fog-30,3,3,0,1,2,91,38,100,55,86
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-fog-30,3,3,0,1,3,91,38,100,55,86
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-fog-40,3,3,0,0,1,91,38,100,55,86
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-fog-40,3,3,0,0,2,91,38,100,55,86
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-fog-40,3,3,0,0,3,91,38,100,55,86
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-fog-50,3,3,0,1,1,91,38,100,55,86
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-fog-50,3,3,0,1,2,91,38,100,55,86
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-fog-50,3,3,0,1,3,91,38,100,55,86
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-fog-60,1,1,0,0,1,91,17,100,29,67
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-fog-60,1,1,0,0,2,91,17,100,29,67
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-fog-60,1,1,0,0,3,91,17,100,29,67
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-fog-70,2,2,0,0,1,91,29,100,44,80
